"ID","human","system","human2"
"RESPONSE_1",4,4.3050678214,4
"RESPONSE_2",4,4.5409309373,4
"RESPONSE_3",4,2.9505171592,3
"RESPONSE_4",3,3.6649644041,4
"RESPONSE_5",2,3.3296218445,3
"RESPONSE_6",2,1.5152969213,2
"RESPONSE_7",4,4.1836343077,4
"RESPONSE_8",2,2.1196279805,2
"RESPONSE_9",5,3.8379257849,4
"RESPONSE_10",3,3.1878691911,3
"RESPONSE_11",4,3.1515610512,4
"RESPONSE_12",5,4.5255666441,5
"RESPONSE_13",4,5.1568379043,3
"RESPONSE_14",4,3.8969032032,4
"RESPONSE_15",3,3.943410216,4
"RESPONSE_16",4,4.5180960531,4
"RESPONSE_17",4,2.8060221053,4
"RESPONSE_18",3,3.5968090525,3
"RESPONSE_19",2,2.2093949416,3
"RESPONSE_20",4,4.4976754481,4
"RESPONSE_21",4,4.524114235,3
"RESPONSE_22",5,4.5808439961,5
"RESPONSE_23",3,3.3243759403,3
"RESPONSE_24",3,3.1051181065,3
"RESPONSE_25",4,3.9196279676,4
"RESPONSE_26",4,4.3584187948,4
"RESPONSE_27",4,4.1801838285,4
"RESPONSE_28",4,3.6230930532,4
"RESPONSE_29",3,3.3945322144,3
"RESPONSE_30",3,3.4270091178,3
"RESPONSE_31",3,3.4356617983,3
"RESPONSE_32",3,3.1598759517,3
"RESPONSE_33",1,1.3389555467,1
"RESPONSE_34",4,4.1918347104,4
"RESPONSE_35",4,3.3754390083,3
"RESPONSE_36",3,2.6564495032,3
"RESPONSE_37",4,3.8718535918,4
"RESPONSE_38",5,4.9448762259,5
"RESPONSE_39",2,1.1145704026,1
"RESPONSE_40",4,3.5084941214,3
"RESPONSE_41",4,4.3197219339,4
"RESPONSE_42",4,4.6481919285,4
"RESPONSE_43",4,2.9724521205,3
"RESPONSE_44",3,3.6602420179,4
"RESPONSE_45",2,3.252376741,3
"RESPONSE_46",2,1.5492443595,2
"RESPONSE_47",4,4.1761576528,4
"RESPONSE_48",2,2.2069705751,2
"RESPONSE_49",5,3.9256553086,4
"RESPONSE_50",3,3.1878042547,3
"RESPONSE_51",4,3.1922677918,4
"RESPONSE_52",5,4.6184375711,5
"RESPONSE_53",4,5.1714130025,3
"RESPONSE_54",4,3.913660263,4
"RESPONSE_55",3,4.0874330975,4
"RESPONSE_56",4,4.5539794137,4
"RESPONSE_57",4,2.7967104937,4
"RESPONSE_58",3,3.4932867306,3
"RESPONSE_59",2,2.2772227704,3
"RESPONSE_60",4,4.3927883551,4
"RESPONSE_61",4,4.4881757548,3
"RESPONSE_62",5,4.6085174904,5
"RESPONSE_63",3,3.3014028341,3
"RESPONSE_64",3,3.1124157518,3
"RESPONSE_65",4,3.8230133243,4
"RESPONSE_66",4,4.2849123249,4
"RESPONSE_67",4,4.2622022939,4
"RESPONSE_68",4,3.5942275108,4
"RESPONSE_69",3,3.456023189,3
"RESPONSE_70",3,3.426397847,3
"RESPONSE_71",3,3.4727032947,3
"RESPONSE_72",3,3.1381241913,3
"RESPONSE_73",1,1.4193972327,1
"RESPONSE_74",4,4.1725466025,4
"RESPONSE_75",4,3.3684873255,3
"RESPONSE_76",3,2.6553981831,3
"RESPONSE_77",4,3.8985108856,4
"RESPONSE_78",5,4.8468507197,5
"RESPONSE_79",2,1.0549548229,1
"RESPONSE_80",4,3.5096862274,3
"RESPONSE_81",4,4.3636576692,4
"RESPONSE_82",4,4.5377190145,4
"RESPONSE_83",4,2.991126885,3
"RESPONSE_84",3,3.5982131663,4
"RESPONSE_85",2,3.3549689416,3
"RESPONSE_86",2,1.4568679918,2
"RESPONSE_87",4,4.1406937308,4
"RESPONSE_88",2,2.0448298196,2
"RESPONSE_89",5,3.8829343125,4
"RESPONSE_90",3,3.2476132379,3
"RESPONSE_91",4,3.1879532588,4
"RESPONSE_92",5,4.5492745476,5
"RESPONSE_93",4,5.1817703295,3
"RESPONSE_94",4,3.9117359083,4
"RESPONSE_95",3,3.9695681812,4
"RESPONSE_96",4,4.5881113948,4
"RESPONSE_97",4,2.8975824714,4
"RESPONSE_98",3,3.4993554905,3
"RESPONSE_99",2,2.250306266,3
"RESPONSE_100",4,4.4429326245,4
"RESPONSE_101",4,4.5419461112,3
"RESPONSE_102",5,4.5208805784,5
"RESPONSE_103",3,3.315284461,3
"RESPONSE_104",3,3.1425622669,3
"RESPONSE_105",4,3.7789789117,4
"RESPONSE_106",4,4.3594339361,4
"RESPONSE_107",4,4.1930821895,4
"RESPONSE_108",4,3.6379693314,4
"RESPONSE_109",3,3.339784305,3
"RESPONSE_110",3,3.4297821917,3
"RESPONSE_111",3,3.3951275043,3
"RESPONSE_112",3,3.1207531306,3
"RESPONSE_113",1,1.3998544257,1
"RESPONSE_114",4,4.2574317969,4
"RESPONSE_115",4,3.3463341966,3
"RESPONSE_116",3,2.7620885723,3
"RESPONSE_117",4,3.8845799243,4
"RESPONSE_118",5,4.9329640033,5
"RESPONSE_119",2,1.1298322374,1
"RESPONSE_120",4,3.5291341433,3
"RESPONSE_121",4,4.2679690906,4
"RESPONSE_122",4,4.5365606236,4
"RESPONSE_123",4,2.9606109255,3
"RESPONSE_124",3,3.7626446638,4
"RESPONSE_125",2,3.259995699,3
